"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BKM00014557","2001-09","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","5,S","0","5,S","","","","","","","20010928",",5,S","","","","","","","4.9","5,S,28,","","","","","","","","","","","","","","","","","8.88","5,,,S"
"BKM00014557","2001-10","44.55","18.7","307.0","TUZLA, BK","","","7.8","5,S","","","","","","","","","0","4,S","0","4,S","0","2,S","22","2,S","0","2,S","20011028",",4,S","","","","","20011008",",2,S","0.3","4,S,28,","","","","","29.1","2,S,08,","","","77.0","2,S","","","15.26","5,S","22.52","2,,,S","7.99","4,,,S"
"BKM00014557","2002-01","44.55","18.7","307.0","TUZLA, BK","0.0","S","0.0","4,S","","","","","","","24","5,","1","3,S","23","3,S","11","1,S","0","1,S","0","1,S","20020105",",3,S","20020118",",5,S","","","20020129",",1,S","-18.2","3,S,05,","231","5,,S,18,","","","20.2","1,S,29,","","","481.7","1,S","","","0.29","4,S","5.40","1,,,S","-4.83","3,,,S"
"BKM00014557","2002-02","44.55","18.7","307.0","TUZLA, BK","0.0","S","0.0","1,S","","","","","","","","","0","1,S","12","1,S","0",",S","0",",S","0",",S","20020225",",1,S","","","","","20020213",",,S","-4.6","1,S,25,","","","","","19.9",",S,13,","","","302.9",",S","","","7.08","1,S","13.78",",,,S","0.38","1,,,S"
"BKM00014557","2002-03","44.55","18.7","307.0","TUZLA, BK","0.0","S","0.0","2,S","","","","","","","","","0","2,S","9","2,S","0",",S","5",",S","0",",S","20020329",",2,S","","","","","20020306",",,S","-3.3","2,S,29,","","","","","25.1",",S,06,","","","268.9",",S","","","9.19","2,S","15.66",",,,S","2.73","2,,,S"
"BKM00014557","2002-04","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","4,S","2","4,S","0","2,S","6","2,S","0","2,S","20020408",",4,S","","","","","20020413",",2,S","-4.1","4,S,08,","","","","","23.8","2,S,13,","","","","","","","11.12","6,S","17.01","2,,,S","5.22","4,,,S"
"BKM00014557","2002-05","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","3,S","0","3,S","","","","","","","20020501",",3,S","","","","","","","6.2","3,S,01,","","","","","","","","","","","","","","","","","10.90","3,,,S"
"BKM00014557","2002-07","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","2,S","0","2,S","","","","","","","20020723",",2,S","","","","","","","11.6","2,S,23,","","","","","","","","","","","","","","","","","15.36","2,,,S"
"BKM00014557","2002-10","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","5,S","3","5,S","0","3,S","11","3,S","0","3,S","20021029",",5,S","","","","","20021016",",3,S","-0.3","5,S,29,","","","","","25.4","3,S,16,","","","","","","","12.71","7,S","19.08","3,,,S","6.34","5,,,S"
"BKM00014557","2002-11","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","","","","","0","3,S","7","3,S","0","3,S","","","","","","","20021118",",3,S","","","","","","","26.6","3,S,18,","","","","","","","","","15.86","3,,,S","",""
"BKM00014557","2003-02","44.55","18.7","307.0","TUZLA, BK","","","0.0","5,S","","","","","","","20","4,","0","3,S","25","3,S","11","2,S","0","2,S","0","2,S","20030219",",3,S","20030206",",4,S","","","20030227",",2,S","-13.8","3,S,19,","290","4,,S,06,","","","15.5","2,S,27,","","","468.7","2,S","","","-2.27","5,S","2.67","2,,,S","-7.21","3,,,S"
"BKM00014557","2003-03","44.55","18.7","307.0","TUZLA, BK","","","0.0","4,S","","","","","","","","","0","3,S","15","3,S","0","3,S","5","3,S","0","3,S","20030323",",3,S","","","","","20030329","+,3,S","-8.5","3,S,23,","","","","","23.0","3,S,29,+","","","320.0","3,S","","","6.46","4,S","13.14","3,,,S","-0.21","3,,,S"
"BKM00014557","2003-04","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","4,S","5","4,S","0","4,S","4","4,S","0","4,S","20030409",",4,S","","","","","20030430",",4,S","-6.6","4,S,09,","","","","","31.6","4,S,30,","","","","","","","10.70","7,S","17.57","4,,,S","3.83","4,,,S"
"BKM00014557","2003-05","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","5,S","0","5,S","","","","","","","20030505",",5,S","","","","","","","6.7","5,S,05,","","","","","","","","","","","","","","","","","11.56","5,,,S"
"BKM00014557","2003-06","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","2,S","0","2,S","","","","","","","20030622",",2,S","","","","","","","11.6","2,S,22,","","","","","","","","","","","","","","","","","15.39","2,,,S"
"BKM00014557","2003-07","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","3,S","0","3,S","0","3,S","28","3,S","7","3,S","20030715",",3,S","","","","","20030722","+,3,S","9.2","3,S,15,","","","","","36.2","3,S,22,+","","","","","","","21.88","6,S","29.01","3,,,S","14.74","3,,,S"
"BKM00014557","2003-08","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","1,S","0","1,S","","","","","","","20030812",",1,S","","","","","","","11.3","1,S,12,","","","","","","","","","","","","","","","","","15.43","1,,,S"
"BKM00014557","2003-11","44.55","18.7","307.0","TUZLA, BK","","","0.0","5,S","","","","","","","","","0","2,S","4","2,S","0","3,S","4","3,S","0","3,S","20031113",",2,S","","","","","20031102","+,3,S","-4.6","2,S,13,","","","","","22.5","3,S,02,+","","","226.7","3,S","","","9.29","5,S","14.96","3,,,S","3.62","2,,,S"
"BKM00014557","2003-12","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","","","","","2","5,S","0","5,S","0","5,S","","","","","","","20031222",",5,S","","","","","","","13.4","5,S,22,","","","","","","","","","6.54","5,,,S","",""
"BKM00014557","2004-01","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","","","","","9","2,S","0","2,S","0","2,S","","","","","","","20040113",",2,S","","","","","","","16.1","2,S,13,","","","","","","","","","3.68","2,,,S","",""
"BKM00014557","2004-02","44.55","18.7","307.0","TUZLA, BK","","","0.0","4,S","17","5,S","11","5,S","0","5,S","","","0","2,S","16","2,S","2","2,S","1","2,S","0","2,S","20040213",",2,S","","","20040228",",5,S","20040206",",2,S","-12.8","2,S,13,","","","11.9","5,,S,28,","21.8","2,S,06,","","","375.3","2,S","77.4","5,,,S","3.40","4,S","8.54","2,,,S","-1.74","2,,,S"
"BKM00014557","2004-03","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","5,S","10","5,S","1","3,S","4","3,S","0","3,S","20040303",",5,S","","","","","20040320","+,3,S","-8.0","5,S,03,","","","","","24.0","3,S,20,+","","","","","","","6.78","6,S","12.78","3,,,S","0.77","5,,,S"
"BKM00014557","2004-04","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","5,S","0","5,S","","","","","","","20040408",",5,S","","","","","","","2.0","5,S,08,","","","","","","","","","","","","","","","","","6.77","5,,,S"
"BKM00014557","2004-05","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","3,S","0","3,S","","","","","","","20040525",",3,S","","","","","","","0.7","3,S,25,","","","","","","","","","","","","","","","","","7.45","3,,,S"
"BKM00014557","2004-08","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","2,S","0","2,S","","","","","","","20040828",",2,S","","","","","","","8.4","2,S,28,","","","","","","","","","","","","","","","","","13.83","2,,,S"
"BKM00014557","2004-09","44.55","18.7","307.0","TUZLA, BK","","","","","","","","","","","","","0","4,S","0","4,S","","","","","","","20040911",",4,S","","","","","","","2.0","4,S,11,","","","","","","","","","","","","","","","","","9.61","4,,,S"
