"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BKM00014657","2008-08","42.917","17.6","14.0","NEUM, BK","","","0","3,S","0","3,S","0","3,S","0","3,","0","3,S","","","","","","","20080820",",3,S","20080831","+,3,S","","","19.6","3,S,20,","0.0","3,,S,31,+","","","","","","","0.0","3,,,S","","","","","22.25","3,,,S"
"BKM00014657","2008-10","42.917","17.6","14.0","NEUM, BK","","","0","2,S","0","2,S","0","2,S","0","3,","0","3,S","","","","","","","20081027",",3,S","20081031","+,2,S","","","11.0","3,S,27,","0.0","2,,S,31,+","","","","","","","0.0","2,,,S","","","","","14.58","3,,,S"
"BKM00014657","2008-11","42.917","17.6","14.0","NEUM, BK","","","1","1,S","1","1,S","1","1,S","0","1,","0","1,S","","","","","","","20081124",",1,S","20081129",",1,S","","","1.6","1,S,24,","47.0","1,,S,29,","","","","","","","47.0","1,,,S","","","","","11.13","1,,,S"
"BKM00014657","2008-12","42.917","17.6","14.0","NEUM, BK","","","14","2,S","9","2,S","3","2,S","0","5,","0","5,S","","","","","","","20081231",",5,S","20081204",",2,S","","","1.1","5,S,31,","60.5","2,,S,04,","","","","","","","218.2","2,,,S","","","","","7.04","5,,,S"
"BKM00014657","2009-01","42.917","17.6","14.0","NEUM, BK","","","18","3,S","11","3,S","3","3,S","0","5,","0","5,S","","","","","","","20090106",",5,S","20090114",",3,S","","","0.3","5,S,06,","31.5","3,,S,14,","","","","","","","226.3","3,,,S","","","","","6.79","5,,,S"
"BKM00014657","2009-03","42.917","17.6","14.0","NEUM, BK","","","12","3,S","7","3,S","2","3,S","","","","","","","","","","","","","20090305",",3,S","","","","","43.4","3,,S,05,","","","","","","","128.2","3,,,S","","","","","",""
"BKM00014657","2009-04","42.917","17.6","14.0","NEUM, BK","","","15","1,S","5","1,S","0","1,S","0","3,","0","3,S","","","","","","","20090414",",3,S","20090430",",1,S","","","10.1","3,S,14,","13.7","1,,S,30,","","","","","","","52.3","1,,,S","","","","","12.32","3,,,S"
"BKM00014657","2009-05","42.917","17.6","14.0","NEUM, BK","","","6","1,S","1","1,S","0","1,S","0","1,","0","1,S","","","","","","","20090501",",1,S","20090528",",1,S","","","9.5","1,S,01,","21.6","1,,S,28,","","","","","","","26.8","1,,,S","","","","","16.78","1,,,S"
"BKM00014657","2009-08","42.917","17.6","14.0","NEUM, BK","","","2",",S","1",",S","0",",S","0","1,","0","1,S","","","","","","","20090805",",1,S","20090805",",,S","","","16.7","1,S,05,","18.0",",,S,05,","","","","","","","19.5",",,,S","","","","","19.97","1,,,S"
"BKM00014657","2009-09","42.917","17.6","14.0","NEUM, BK","","","5",",S","4",",S","2",",S","0","2,","0","2,S","","","","","","","20090909",",2,S","20090906",",,S","","","15.2","2,S,09,","42.9",",,S,06,","","","","","","","85.3",",,,S","","","","","18.27","2,,,S"
