month,year,month_of_year,temperature_celsius
0,2000,1,-9.4300
1,2000,2,-6.9100
2,2000,3,-5.6800
3,2000,4,1.3600
4,2000,5,6.9000
5,2000,6,9.7900
6,2000,7,10.3100
7,2000,8,12.4500
8,2000,9,6.2800
9,2000,10,4.7800
10,2000,11,0.7000
11,2000,12,-2.2300
12,2001,1,-4.5000
13,2001,2,-6.6700
14,2001,3,-0.8500
15,2001,4,-1.6300
16,2001,5,5.8200
17,2001,6,6.8500
18,2001,7,10.7800
19,2001,8,12.3000
20,2001,9,4.2500
21,2001,10,6.0900
22,2001,11,-3.6800
23,2001,12,-10.7900
24,2002,1,-5.6500
25,2002,2,-3.0000
26,2002,3,-2.3900
27,2002,4,-0.4400
28,2002,5,5.9200
29,2002,6,9.3400
30,2002,7,10.8800
31,2002,8,9.4700
32,2002,9,4.5700
33,2002,10,2.5400
34,2002,11,-0.3100
35,2002,12,-3.9700
36,2003,1,-6.4600
37,2003,2,-12.4100
38,2003,3,-5.9400
39,2003,4,-2.7700
40,2003,5,8.7600
41,2003,6,11.7700
42,2003,7,10.8400
43,2003,8,13.3800
44,2003,9,5.5600
45,2003,10,1.0300
46,2003,11,0.0600
47,2003,12,-5.1200
48,2004,1,-9.3800
49,2004,2,-5.9200
50,2004,3,-4.4300
51,2004,4,0.2200
52,2004,5,1.4000
53,2004,6,8.4500
54,2004,7,10.6800
55,2004,8,10.2500
56,2004,9,6.3600
57,2004,10,5.8000
58,2004,11,-2.7200
59,2004,12,-3.0400
60,2005,1,-7.9800
61,2005,2,-10.0800
62,2005,3,-5.3500
63,2005,4,-1.5300
64,2005,5,4.9700
65,2005,6,6.9900
66,2005,7,11.1100
67,2005,8,8.8200
68,2005,9,6.8200
69,2005,10,3.1300
70,2005,11,-2.2000
71,2005,12,-6.6000
72,2006,1,-8.7500
73,2006,2,-7.8500
74,2006,3,-5.7000
75,2006,4,0.4000
76,2006,5,4.5600
77,2006,6,7.9500
78,2006,7,10.4700
79,2006,8,9.2000
80,2006,9,7.2200
100,2008,5,5.1200
113,2009,6,8.0000
