month,year,month_of_year,sarajevo_temperature_celsius,bjelasnica_temperature_celsius
0,2000,1,-3.4800,-9.4300
1,2000,2,1.6100,-6.9100
2,2000,3,5.5100,-5.6800
3,2000,4,12.9300,1.3600
4,2000,5,16.5800,6.9000
5,2000,6,19.7100,9.7900
6,2000,7,20.5300,10.3100
7,2000,8,22.1100,12.4500
8,2000,9,15.8000,6.2800
9,2000,10,13.4500,4.7800
10,2000,11,10.8500,0.7000
11,2000,12,3.3600,-2.2300
12,2001,1,3.8700,-4.5000
13,2001,2,3.0700,-6.6700
14,2001,3,10.2800,-0.8500
15,2001,4,9.1900,-1.6300
16,2001,5,15.9100,5.8200
17,2001,6,16.7600,6.8500
18,2001,7,20.5500,10.7800
19,2001,8,21.5000,12.3000
20,2001,9,13.6700,4.2500
21,2001,10,13.3700,6.0900
22,2001,11,3.1900,-3.6800
23,2001,12,-2.9500,-10.7900
24,2002,1,-1.7700,-5.6500
25,2002,2,6.2200,-3.0000
26,2002,3,8.7100,-2.3900
27,2002,4,9.8900,-0.4400
28,2002,5,16.2100,5.9200
29,2002,6,19.4200,9.3400
30,2002,7,20.9200,10.8800
31,2002,8,19.6700,9.4700
32,2002,9,14.2300,4.5700
33,2002,10,11.7900,2.5400
34,2002,11,10.0700,-0.3100
35,2002,12,2.4200,-3.9700
36,2003,1,-0.0900,-6.4600
37,2003,2,-2.8100,-12.4100
38,2003,3,5.4600,-5.9400
39,2003,4,8.9900,-2.7700
40,2003,5,17.6900,8.7600
41,2003,6,21.2200,11.7700
42,2003,7,21.1400,10.8400
43,2003,8,23.1300,13.3800
44,2003,9,15.0900,5.5600
45,2003,10,9.8600,1.0300
46,2003,11,7.7700,0.0600
47,2003,12,0.7000,-5.1200
48,2004,1,-1.0200,-9.3800
49,2004,2,1.9000,-5.9200
50,2004,3,5.7600,-4.4300
51,2004,4,11.1800,0.2200
52,2004,5,12.7000,1.4000
53,2004,6,18.2100,8.4500
54,2004,7,20.6200,10.6800
55,2004,8,20.0700,10.2500
56,2004,9,15.7400,6.3600
57,2004,10,14.5100,5.8000
58,2004,11,4.7400,-2.7200
59,2004,12,2.5000,-3.0400
60,2005,1,-0.3500,-7.9800
61,2005,2,-2.5500,-10.0800
62,2005,3,3.3800,-5.3500
63,2005,4,9.8200,-1.5300
64,2005,5,15.1900,4.9700
65,2005,6,17.0900,6.9900
66,2005,7,20.5800,11.1100
67,2005,8,18.7400,8.8200
68,2005,9,16.0300,6.8200
69,2005,10,11.8000,3.1300
70,2005,11,5.0500,-2.2000
71,2005,12,1.2700,-6.6000
72,2006,1,-1.5600,-8.7500
73,2006,2,1.1100,-7.8500
74,2006,3,4.6000,-5.7000
75,2006,4,11.3100,0.4000
76,2006,5,15.1400,4.5600
77,2006,6,17.9000,7.9500
78,2006,7,20.4500,10.4700
79,2006,8,19.1300,9.2000
80,2006,9,16.7700,7.2200
81,2006,10,13.3100,
82,2006,11,5.7900,
83,2006,12,1.5700,
84,2007,1,5.4100,
85,2007,2,6.1600,
86,2007,3,8.0300,
87,2007,4,12.4400,
88,2007,5,16.5000,
89,2007,6,20.7200,
90,2007,7,22.6100,
91,2007,8,22.4700,
92,2007,9,14.2600,
93,2007,10,9.7100,
94,2007,11,3.0200,
95,2007,12,-1.0500,
96,2008,1,2.3800,
97,2008,2,4.5600,
98,2008,3,6.6100,
99,2008,4,10.9500,
100,2008,5,15.9500,5.1200
